-6.063750, 3.088750, 17.395000; -0.818345, -0.882951, 9.224331; 0.000013, -0.000017, -0.000136;
1.233750, 5.407500, 10.360000; -0.567099, -0.875773, 9.583255; 0.000013, -0.000017, -0.000136;
10.281250, 10.946250, 8.400000; -0.933201, -1.040878, 9.253045; 0.000013, -0.000017, -0.000136;
3.990000, 4.515000, 19.853750; -0.315853, -1.284946, 9.310472; 0.000014, -0.000018, -0.000135;
0.892500, 7.385000, 12.818750; -0.387637, -1.256232, 9.497113; 0.000014, -0.000018, -0.000135;
0.105000, 9.590000, 8.627500; -0.301496, -1.586441, 9.389436; 0.000014, -0.000018, -0.000135;
-6.116250, 7.140000, 7.542500; -0.358923, -1.514657, 9.224331; 0.000014, -0.000018, -0.000135;
-9.152500, 8.111250, 9.126250; -0.351745, -1.313660, 9.087940; 0.000014, -0.000019, -0.000134;
-7.918750, 6.667500, 12.101250; 0.035892, -1.277767, 9.619146; 0.000014, -0.000019, -0.000134;
-13.641250, 4.908750, -2.126250; -0.258425, -1.170090, 9.856036; 0.000014, -0.000019, -0.000134;
-5.897500, 0.525000, 5.608750; -0.689133, -0.825524, 9.669396; 0.000015, -0.000020, -0.000134;
3.596250, 6.667500, 0.096250; -0.646062, -1.119841, 9.360722; 0.000015, -0.000020, -0.000134;
-2.948750, 0.691250, 9.135000; -0.423530, -1.033699, 9.533005; 0.000015, -0.000020, -0.000134;
-0.665000, 8.855000, 2.695000; 0.028714, -1.148555, 9.382257; 0.000014, -0.000020, -0.000134;
-1.785000, 5.075000, 3.867500; -0.021535, -1.083949, 9.533005; 0.000014, -0.000020, -0.000134;
-1.146250, 4.147500, 2.397500; -0.251246, -1.048056, 9.382257; 0.000014, -0.000020, -0.000134;
0.700000, 6.492500, 3.841250; -0.430708, -1.249053, 9.238688; 0.000015, -0.000020, -0.000134;
-4.655000, 6.282500, 2.616250; -0.466600, -1.306481, 9.037691; 0.000015, -0.000020, -0.000134;
-8.855000, 4.891250, 6.615000; -0.308674, -1.004985, 9.611968; 0.000015, -0.000020, -0.000134;
-5.713750, 4.305000, 5.293750; -0.078963, -1.019342, 9.454042; 0.000015, -0.000020, -0.000134;
2.266250, 9.712500, 0.113750; -0.473779, -1.198804, 9.518648; 0.000015, -0.000020, -0.000134;
-6.387500, 4.025000, 4.970000; -0.136391, -1.313660, 9.403793; 0.000015, -0.000020, -0.000134;
-6.658750, 3.920000, 0.945000; 0.007178, -0.904487, 9.439685; 0.000015, -0.000020, -0.000134;
0.262500, 8.111250, 0.271250; -0.380459, -1.083949, 9.468399; 0.000015, -0.000021, -0.000134;
-2.441250, 5.678750, 4.812500; -0.272782, -1.119841, 9.482756; 0.000015, -0.000021, -0.000134;
-3.578750, 4.908750, 2.493750; -0.165105, -1.162912, 9.633504; 0.000015, -0.000021, -0.000134;
0.463750, 4.681250, -0.595000; -0.265603, -1.062413, 9.712467; 0.000015, -0.000021, -0.000134;
3.526250, 5.223750, -0.586250; -0.114855, -1.371087, 9.253045; 0.000015, -0.000021, -0.000134;
-0.376250, 5.757500, -2.362500; -0.287139, -1.442872, 9.209974; 0.000015, -0.000021, -0.000134;
-2.940000, 6.168750, -1.356250; -0.179462, -1.363909, 9.518648; 0.000015, -0.000020, -0.000133;
-3.368750, 4.200000, 0.122500; -0.215354, -1.191626, 9.504292; 0.000015, -0.000020, -0.000133;
-3.307500, 5.110000, 2.301250; -0.200997, -1.213161, 9.389436; 0.000015, -0.000020, -0.000133;
